E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_charge_hr_main,t_charge_hr_abu,t_charge_hr_total,t_ground_ops_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.675136,29.532392,44.167362,17.000000,0.668647,1.000000,0.331353,0.000000,1.000000,0.233333,0.511421,0.276800,0.511421,0.283300,1.028054,23.000000,5.366667,18.633333,0.354761,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.190046,25.017482,44.167362,22.000000,0.566425,1.000000,0.433575,0.000000,1.000000,0.233333,0.470094,0.348178,0.470094,0.283300,0.986727,24.000000,5.600000,18.400000,0.318541,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,13.554368,20.653160,44.167362,27.000000,0.467611,1.000000,0.532389,0.000000,1.000000,0.233333,0.430146,0.417592,0.430146,0.283300,0.946779,25.000000,5.833333,18.166667,0.330514,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,17.771405,16.436123,44.167362,32.000000,0.372133,1.000000,0.627867,0.000000,1.000000,0.233333,0.391546,0.485428,0.485428,0.283300,1.002062,23.000000,5.366667,18.633333,0.952585,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,21.845826,12.361702,44.167362,37.000000,0.279883,1.000000,0.720117,0.000000,1.000000,0.233333,0.354252,0.551949,0.551949,0.283300,1.068582,22.000000,5.133333,18.866667,0.491190,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,29.984303,25.768693,8.438835,44.167362,42.000000,0.191065,0.999626,0.808935,0.000374,1.000000,0.233333,0.307573,0.617201,0.617201,0.283300,1.133834,21.000000,4.900000,19.100000,0.189488,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,30.485291,25.768693,8.438835,44.167362,47.000000,0.191065,0.903942,0.808935,0.096058,1.000000,0.233333,0.307573,0.640433,0.640433,0.283300,1.157067,20.000000,4.666667,19.333333,0.858668,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,30.992229,25.768693,8.438835,44.167362,52.000000,0.191065,0.826774,0.808935,0.173226,1.000000,0.233333,0.307573,0.662851,0.662851,0.283300,1.179485,20.000000,4.666667,19.333333,0.410305,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,31.505117,25.768693,8.438835,44.167362,57.000000,0.191065,0.763248,0.808935,0.236752,1.000000,0.233333,0.307573,0.684545,0.684545,0.283300,1.201179,19.000000,4.433333,19.566667,1.177603,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,32.023954,25.768693,8.438835,44.167362,62.000000,0.191065,0.710064,0.808935,0.289936,1.000000,0.233333,0.307573,0.705590,0.705590,0.283300,1.222223,19.000000,4.433333,19.566667,0.777762,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
