E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_overlap_hr,t_charge_hr_main,t_charge_hr_abu_raw,t_charge_hr_abu_net,t_charge_hr_total,t_ground_ops_hr,t_cruise_abu_return_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.845331,99.217276,118.782954,17.000000,0.835282,1.000000,0.164718,0.000000,1.000000,0.433333,0.375830,1.360354,0.276800,0.000000,1.360354,0.283300,0.025000,2.076988,11.000000,4.766667,19.233333,1.153137,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.606059,94.456548,118.782954,22.000000,0.795203,1.000000,0.204797,0.000000,1.000000,0.433333,0.357813,1.316778,0.348178,0.015365,1.316778,0.283300,0.025000,2.033411,11.000000,4.766667,19.233333,1.632478,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,14.283914,89.778693,118.782954,27.000000,0.755821,1.000000,0.244179,0.000000,1.000000,0.433333,0.340109,1.273960,0.417592,0.102483,1.273960,0.283300,0.025000,1.990593,12.000000,5.200000,18.800000,0.112882,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,18.879760,85.182846,118.782954,32.000000,0.717130,1.000000,0.282870,0.000000,1.000000,0.433333,0.322716,1.231893,0.485428,0.187712,1.231893,0.283300,0.025000,1.948526,12.000000,5.200000,18.800000,0.617689,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,23.394676,80.667930,118.782954,37.000000,0.679120,1.000000,0.320880,0.000000,1.000000,0.433333,0.305630,1.190566,0.551949,0.271319,1.190566,0.283300,0.025000,1.907199,12.000000,5.200000,18.800000,1.113606,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,27.829741,76.232866,118.782954,42.000000,0.641783,1.000000,0.358217,0.000000,1.000000,0.433333,0.288845,1.149971,0.617344,0.353499,1.149971,0.283300,0.025000,1.866604,12.000000,5.200000,18.800000,1.600753,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,35.000000,32.186031,71.876575,118.782954,47.000000,0.605108,1.000000,0.394892,0.000000,1.000000,0.433333,0.272359,1.110096,0.681758,0.434399,1.110096,0.283300,0.025000,1.826729,13.000000,5.633333,18.366667,0.252517,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,40.000000,36.464623,67.597983,118.782954,52.000000,0.569088,1.000000,0.430912,0.000000,1.000000,0.433333,0.256167,1.070933,0.745302,0.514136,1.070933,0.283300,0.025000,1.787566,13.000000,5.633333,18.366667,0.761641,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,45.000000,40.666588,63.396018,118.782954,57.000000,0.533713,1.000000,0.466287,0.000000,1.000000,0.433333,0.240264,1.032471,0.808068,0.592804,1.032471,0.283300,0.025000,1.749104,13.000000,5.633333,18.366667,1.261646,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,50.000000,44.792995,59.269611,118.782954,62.000000,0.498974,1.000000,0.501026,0.000000,1.000000,0.433333,0.224648,0.994701,0.870130,0.670482,0.994701,0.283300,0.025000,1.711334,14.000000,6.066667,17.933333,0.041326,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
