E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_charge_hr_main,t_charge_hr_abu,t_charge_hr_total,t_ground_ops_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.816120,110.870197,131.029441,17.000000,0.846147,1.000000,0.153853,0.000000,1.000000,0.433333,1.493003,0.276800,1.493003,0.283300,2.209636,10.000000,4.333333,19.666667,1.903636,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.540571,106.145746,131.029441,22.000000,0.810091,1.000000,0.189909,0.000000,1.000000,0.433333,1.449759,0.348178,1.449759,0.283300,2.166392,11.000000,4.766667,19.233333,0.169688,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,14.176934,101.509383,131.029441,27.000000,0.774707,1.000000,0.225293,0.000000,1.000000,0.433333,1.407321,0.417592,1.407321,0.283300,2.123954,11.000000,4.766667,19.233333,0.636507,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,18.726042,96.960275,131.029441,32.000000,0.739988,1.000000,0.260012,0.000000,1.000000,0.433333,1.365681,0.485428,1.365681,0.283300,2.082314,11.000000,4.766667,19.233333,1.094541,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,23.189372,92.496945,131.029441,37.000000,0.705925,1.000000,0.294075,0.000000,1.000000,0.433333,1.324827,0.551949,1.324827,0.283300,2.041460,11.000000,4.766667,19.233333,1.543938,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,27.568389,88.117928,131.029441,42.000000,0.672505,1.000000,0.327495,0.000000,1.000000,0.433333,1.284744,0.617344,1.284744,0.283300,2.001378,11.000000,4.766667,19.233333,1.984846,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,35.000000,31.864539,83.821778,131.029441,47.000000,0.639717,1.000000,0.360283,0.000000,1.000000,0.433333,1.245420,0.681758,1.245420,0.283300,1.962054,12.000000,5.200000,18.800000,0.455356,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,40.000000,36.079246,79.607071,131.029441,52.000000,0.607551,1.000000,0.392449,0.000000,1.000000,0.433333,1.206842,0.745302,1.206842,0.283300,1.923475,12.000000,5.200000,18.800000,0.918299,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,45.000000,40.213917,75.472400,131.029441,57.000000,0.575996,1.000000,0.424004,0.000000,1.000000,0.433333,1.168996,0.808068,1.168996,0.283300,1.885629,12.000000,5.200000,18.800000,1.372451,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,50.000000,44.269937,71.416380,131.029441,62.000000,0.545041,1.000000,0.454959,0.000000,1.000000,0.433333,1.131870,0.870130,1.131870,0.283300,1.848503,12.000000,5.200000,18.800000,1.817963,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
